"SECTION","SUBSECTION","FILE NAME","TYPE","PURPOSE","EXAMPLES / DETAILS","CREATION STATUS"
"CURSOR IDE CONFIGURATION","Project-Level Files",".cursorrules","Markdown","LEGACY system prompts (being phased out)","# You are an expert engineer. Follow SOLID principles. Avoid over-engineering.","❌ Not created"
"CURSOR IDE CONFIGURATION","Project-Level Files",".cursor/settings.json","JSON","IDE settings, keybindings, themes, extensions config","{""theme"": ""dracula"", ""fontSize"": 14, ""extensions"": [""eslint"", ""prettier""]}","❌ Not created"
"CURSOR IDE CONFIGURATION","Project-Level Files",".cursor/system-prompts.md","Markdown","Default system prompts for AI behavior","You are Claude, an AI assistant. You write clean, tested code.","❌ Not created"
"CURSOR IDE CONFIGURATION","Project-Level Files",".cursor/rules/*.mdc","Markdown Components","Individual rule files (NEW STANDARD replacing .cursorrules)","engineering.mdc, safety.mdc, style-guide.mdc, agents.mdc, learning.mdc","❌ Not created"
"CURSOR IDE CONFIGURATION","Agent Configuration","agents.json","JSON","Define AI agents: roles, models, capabilities, cost ceilings","Architect (gpt-4o, 4096 tokens, $2/run), Code (gpt-4o, 8192 tokens, $3/run), Test (gpt-4o-mini, 2048 tokens, $1/run)","✅ Created in deployment package"
"CURSOR IDE CONFIGURATION","Agent Configuration","tools.json","JSON","Define available tools and permissions","{""tools"": [{""name"": ""file_read"", ""enabled"": true}, {""name"": ""terminal"", ""policy"": ""require_approval""}]}","❌ Not created"
"CURSOR IDE CONFIGURATION","Prompts & Workflows","prompts/","Directory","Store prompt templates for different agent roles","architect-system-prompt.md, code-review-prompt.md, test-strategy-prompt.md, cynic-critique-prompt.md","❌ Not created"
"CURSOR IDE CONFIGURATION","Prompts & Workflows","workflows/","Directory","Automation workflow configurations","deployment-pipeline.yaml, review-gate.yaml, testing-flow.yaml, learning-loop.yaml","❌ Not created"
"CURSOR IDE CONFIGURATION","MCP Integration","mcp.json","JSON","Model Context Protocol server definitions","{""mcpServers"": {""supabase"": {""command"": ""node"", ""args"": [""./mcp-supabase.js""]}}}","❌ Not created"
"CURSOR IDE CONFIGURATION","User-Level","~/.cursor/settings.json","JSON","Global Cursor IDE settings (all projects)","Applies to all projects, overrideable per-project","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","Core Configuration",".antigravity/rules.md","Markdown","Agent rules, permissions, and operating guidelines","Architect: Can access red zones | Test: Only green zones | Cynic: Red/yellow zones only","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","Core Configuration",".antigravity/settings.json","JSON","Antigravity IDE settings and preferences","{""theme"": ""dark"", ""deep_think_enabled"": true, ""auto_execution"": ""with_approval""}","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","Core Configuration","workspace.json","JSON","Workspace configuration, trust levels, file permissions","{""workspace_name"": ""CodeRed"", ""trusted_folders"": [""/src"", ""/schemas""], ""file_access_policy"": ""strict""}","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","Security & Policy",".antigravity/trust-config.json","JSON","File access permissions and trust levels for agents","{""trusted_paths"": [""/src""], ""untrusted_paths"": [""/admin""], ""require_approval"": [""*.sql"", ""*.env*""]}","❌ Not created"
"GOOGLE ANTIGRAVITY CONFIGURATION","Security & Policy",".antigravity/terminal-policy.json","JSON","Terminal command execution policy (auto/require_approval/deny)","{""default_policy"": ""require_approval"", ""allow_list"": [""npm install""], ""deny_list"": [""rm -rf""]}","❌ Not created"
